# Wall heat-flux
# Time          	patch           	min             	max             	integral        
1               	wall	4.97675639e+03	5.05234408e+03	2.71399774e+01
2               	wall	2.88622899e+03	3.05342789e+03	1.58342667e+01
3               	wall	1.96611189e+03	2.19383228e+03	1.08650130e+01
4               	wall	1.49666505e+03	1.77020419e+03	8.33384905e+00
5               	wall	1.22110133e+03	1.53336102e+03	6.85356103e+00
6               	wall	1.04006588e+03	1.38677611e+03	5.88546160e+00
7               	wall	9.10826809e+02	1.28894485e+03	5.19719652e+00
8               	wall	8.12949042e+02	1.22004902e+03	4.67744759e+00
9               	wall	7.35668209e+02	1.16965027e+03	4.26743814e+00
10              	wall	6.72804889e+02	1.13177647e+03	3.93339335e+00
11              	wall	6.20550315e+02	1.10276090e+03	3.65448363e+00
12              	wall	5.76418499e+02	1.08021927e+03	3.41710090e+00
13              	wall	5.38705619e+02	1.06253044e+03	3.21193144e+00
14              	wall	5.06195880e+02	1.04854974e+03	3.03235503e+00
15              	wall	4.77991766e+02	1.03744464e+03	2.87351700e+00
16              	wall	4.53410812e+02	1.02859569e+03	2.73176352e+00
17              	wall	4.31919766e+02	1.02153222e+03	2.60428415e+00
18              	wall	4.13092160e+02	1.01589103e+03	2.48887676e+00
19              	wall	3.96579629e+02	1.01138822e+03	2.38378751e+00
20              	wall	3.82092417e+02	1.00779966e+03	2.28759955e+00
21              	wall	3.69385412e+02	1.00494679e+03	2.19915417e+00
22              	wall	3.58248492e+02	1.00268651e+03	2.11749340e+00
23              	wall	3.48285746e+02	1.00090354e+03	2.04181720e+00
24              	wall	3.35574723e+02	9.99504586e+02	1.97145146e+00
25              	wall	3.23997565e+02	9.98414069e+02	1.90582367e+00
26              	wall	3.13463714e+02	9.97570639e+02	1.84444401e+00
27              	wall	3.03891659e+02	9.96924456e+02	1.78689063e+00
28              	wall	2.95207169e+02	9.96435062e+02	1.73279793e+00
29              	wall	2.87341949e+02	9.96069655e+02	1.68184735e+00
30              	wall	2.80232637e+02	9.95801692e+02	1.63375977e+00
31              	wall	2.73820106e+02	9.95609747e+02	1.58828954e+00
32              	wall	2.68048935e+02	9.95476596e+02	1.54521942e+00
33              	wall	2.62867062e+02	9.95388435e+02	1.50435653e+00
34              	wall	2.57468883e+02	9.95334273e+02	1.46552892e+00
35              	wall	2.51556464e+02	9.95305401e+02	1.42858279e+00
36              	wall	2.46119266e+02	9.95294963e+02	1.39338003e+00
37              	wall	2.41129218e+02	9.95297614e+02	1.35979626e+00
38              	wall	2.36449881e+02	9.95309222e+02	1.32771913e+00
39              	wall	2.31356776e+02	9.95326627e+02	1.29704685e+00
40              	wall	2.26613772e+02	9.95347453e+02	1.26768693e+00
41              	wall	2.22018049e+02	9.95369933e+02	1.23955516e+00
42              	wall	2.17430700e+02	9.95392793e+02	1.21257463e+00
43              	wall	2.12874997e+02	9.95415135e+02	1.18667498e+00
44              	wall	2.08367771e+02	9.95436350e+02	1.16179167e+00
45              	wall	2.03990841e+02	9.95456058e+02	1.13786539e+00
46              	wall	1.99765104e+02	9.95474042e+02	1.11484151e+00
47              	wall	1.95689962e+02	9.95490211e+02	1.09266963e+00
48              	wall	1.91746650e+02	9.95504560e+02	1.07130319e+00
49              	wall	1.87944527e+02	9.95517154e+02	1.05069905e+00
50              	wall	1.84273995e+02	9.95528092e+02	1.03081720e+00
51              	wall	1.80718039e+02	9.95537499e+02	1.01162050e+00
52              	wall	1.77282301e+02	9.95545513e+02	9.93074359e-01
53              	wall	1.73959358e+02	9.95552277e+02	9.75146578e-01
54              	wall	1.70738814e+02	9.95557941e+02	9.57807098e-01
55              	wall	1.67618569e+02	9.95562638e+02	9.41027842e-01
56              	wall	1.64595541e+02	9.95566493e+02	9.24782545e-01
57              	wall	1.61664613e+02	9.95569629e+02	9.09046600e-01
58              	wall	1.58820238e+02	9.95572149e+02	8.93796933e-01
59              	wall	1.56058165e+02	9.95574150e+02	8.79011882e-01
60              	wall	1.53376500e+02	9.95575717e+02	8.64671083e-01
61              	wall	1.50771617e+02	9.95576928e+02	8.50755376e-01
62              	wall	1.48240050e+02	9.95577841e+02	8.37246712e-01
63              	wall	1.45778672e+02	9.95578511e+02	8.24128077e-01
64              	wall	1.43384473e+02	9.95578986e+02	8.11383411e-01
65              	wall	1.41054773e+02	9.95579309e+02	7.98997540e-01
66              	wall	1.38786803e+02	9.95579509e+02	7.86956121e-01
67              	wall	1.36578135e+02	9.95579617e+02	7.75245577e-01
68              	wall	1.34426736e+02	9.95579654e+02	7.63853053e-01
69              	wall	1.32330333e+02	9.95579635e+02	7.52766358e-01
70              	wall	1.30286892e+02	9.95579580e+02	7.41973935e-01
71              	wall	1.28294373e+02	9.95579497e+02	7.31464800e-01
72              	wall	1.26350706e+02	9.95579400e+02	7.21228526e-01
73              	wall	1.24454225e+02	9.95579293e+02	7.11255194e-01
74              	wall	1.22603268e+02	9.95579180e+02	7.01535370e-01
75              	wall	1.20796242e+02	9.95579069e+02	6.92060070e-01
76              	wall	1.19031542e+02	9.95578960e+02	6.82820736e-01
77              	wall	1.17307807e+02	9.95578859e+02	6.73809209e-01
78              	wall	1.15623559e+02	9.95578767e+02	6.65017704e-01
79              	wall	1.13977340e+02	9.95578678e+02	6.56438794e-01
80              	wall	1.12367641e+02	9.95578601e+02	6.48065391e-01
81              	wall	1.10793592e+02	9.95578528e+02	6.39890700e-01
82              	wall	1.09254074e+02	9.95578462e+02	6.31908244e-01
83              	wall	1.07747626e+02	9.95578405e+02	6.24111824e-01
84              	wall	1.06273199e+02	9.95578356e+02	6.16495504e-01
85              	wall	1.04830084e+02	9.95578312e+02	6.09053601e-01
86              	wall	1.03416860e+02	9.95578274e+02	6.01780669e-01
87              	wall	1.02032813e+02	9.95578243e+02	5.94671494e-01
88              	wall	1.00677050e+02	9.95578215e+02	5.87721063e-01
89              	wall	9.93485059e+01	9.95578193e+02	5.80924574e-01
90              	wall	9.80465773e+01	9.95578175e+02	5.74277424e-01
91              	wall	9.67701744e+01	9.95578158e+02	5.67775182e-01
92              	wall	9.55187511e+01	9.95578144e+02	5.61413599e-01
93              	wall	9.42915260e+01	9.95578132e+02	5.55188602e-01
94              	wall	9.30876070e+01	9.95578124e+02	5.49096237e-01
95              	wall	9.19040287e+01	9.95578118e+02	5.43132735e-01
96              	wall	9.07404011e+01	9.95578114e+02	5.37294464e-01
